App Store Pricing Matrix
 	U.S. - US$	Canada - CAD	Mexico - MXN	Australia - AUD	New Zealand - NZD	Japan - JPY	Europe - Euro	Switzerland - CHF	Norway - NOK	U.K. - GBP	Denmark - DKK	Sweden - SEK	China - CNY	Singapore - SGD	Hong Kong - HKD	Taiwan - TWD	Russia - RUB	Turkey - TRY	India - INR	Indonesia - IDR	Israel - ILS	South Africa - ZAR	Saudi Arabia - SAR	UAE - AED
Tier	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds
Tier 25	24.99	17.50	24.99	17.50	329.00	230.30	25.99	16.54	30.99	21.69	2200	1540	21.99	13.39	25.00	16.20	175.00	98.00	17.49	10.65	165.00	100.43	189.00	115.04	163	114.10	31.98	22.39	198.00	138.60	750	525	799	559.30	44.99	31.49	1350	945	239000	167300	99.90	69.93	199.99	139.99	89.99	62.99	89.99	62.99
Tier 26	25.99	18.20	25.99	18.20	339.00	237.30	26.99	17.18	32.99	23.09	2300	1610	22.99	13.99	26.00	16.85	182.00	101.92	17.99	10.95	169.00	102.87	195.00	118.70	168	117.60	32.98	23.09	203.00	142.10	790	553	849	594.30	46.99	32.89	1400	980	249000	174300	103.90	72.73	209.99	146.99	94.99	66.49	94.99	66.49
Tier 27	26.99	18.90	26.99	18.90	349.00	244.30	27.99	17.81	34.99	24.49	2400	1680	23.99	14.60	27.00	17.50	189.00	105.84	18.99	11.56	179.00	108.96	199.00	121.13	178	124.60	34.98	24.49	208.00	145.60	820	574	879	615.30	48.99	34.29	1500	1050	259000	181300	107.90	75.53	219.99	153.99	99.99	69.99	99.99	69.99
Tier 28	27.99	19.60	27.99	19.60	359.00	251.30	29.99	19.08	35.99	25.19	2450	1715	24.99	15.21	28.00	18.15	196.00	109.76	19.49	11.86	185.00	112.61	209.00	127.22	188	131.60	35.98	25.19	218.00	152.60	840	588	899	629.30	50.99	35.69	1550	1085	269000	188300	111.90	78.33	229.99	160.99	104.99	73.49	104.99	73.49
Tier 29	28.99	20.30	28.99	20.30	379.00	265.30	30.99	19.72	36.99	25.89	2500	1750	25.99	15.82	28.50	18.47	203.00	113.68	19.99	12.17	189.00	115.04	219.00	133.30	193	138.60	36.98	25.89	228.00	159.60	870	609	949	664.30	52.99	37.09	1600	1120	279000	195300	115.90	81.13	234.99	164.49	107.99	75.59	107.99	75.59
Tier 30	29.99	21.00	29.99	21.00	389.00	272.30	31.99	20.36	38.99	27.29	2600	1820	26.99	16.43	29.00	18.80	209.00	117.04	20.99	12.78	199.00	121.13	229.00	139.39	198	138.60	38.98	27.29	238.00	166.60	890	623	979	685.30	53.99	37.79	1650	1155	289000	202300	119.90	83.93	239.99	167.99	109.99	76.99	109.99	76.99
Tier 31	30.99	21.70	30.99	21.70	399.00	279.30	32.99	20.99	39.99	27.99	2700	1890	27.99	17.04	30.00	19.44	217.00	121.52	21.99	13.39	205.00	124.78	235.00	143.04	208	145.60	39.98	27.99	243.00	170.10	930	651	999	699.30	55.99	39.19	1700	1190	299000	209300	123.90	86.73	249.99	174.99	114.99	80.49	114.99	80.49
Tier 32	31.99	22.40	31.99	22.40	419.00	293.30	33.99	21.63	40.99	28.69	2800	1960	28.99	17.65	31.00	20.09	224.00	125.44	22.49	13.69	209.00	127.22	239.00	145.48	218	152.60	40.98	28.69	248.00	173.60	960	672	1029	720.30	57.99	40.59	1750	1225	309000	216300	127.90	89.53	259.99	181.99	117.99	82.59	117.99	82.59
Tier 33	32.99	23.10	32.99	23.10	429.00	300.30	34.99	22.27	41.99	29.39	2900	2030	29.49	17.95	32.00	20.74	231.00	129.36	22.99	13.99	219.00	133.30	245.00	149.13	223	156.10	41.98	29.39	258.00	180.60	990	693	1049	734.30	59.99	41.99	1800	1260	319000	223300	131.90	92.33	269.99	188.99	119.99	83.99	119.99	83.99
Tier 34	33.99	23.80	33.99	23.80	439.00	307.30	35.99	22.90	43.99	30.79	2950	2065	29.99	18.25	33.00	21.39	238.00	133.28	23.99	14.60	225.00	136.96	249.00	151.57	228	159.60	43.98	30.79	268.00	187.60	1020	714	1099	769.30	61.99	43.39	1850	1295	329000	230300	135.90	95.13	274.99	192.49	124.99	87.49	124.99	87.49
Tier 35	34.99	24.50	34.99	24.50	459.00	321.30	36.99	23.54	44.99	31.49	3000	2100	30.99	18.86	34.00	22.04	245.00	137.20	24.49	14.91	229.00	139.39	265.00	161.30	233	163.10	44.98	31.49	278.00	194.60	1050	735	1129	790.30	62.99	44.09	1900	1330	339000	237300	139.90	97.93	279.99	195.99	127.99	89.59	127.99	89.59
Tier 36	35.99	25.20	35.99	25.20	469.00	328.30	37.99	24.18	45.99	32.19	3100	2170	31.99	19.47	35.00	22.69	252.00	141.12	24.99	15.21	239.00	145.48	269.00	163.74	238	166.60	45.98	32.19	283.00	198.10	1090	763	1149	804.30	64.99	45.49	2000	1400	349000	244300	143.90	100.73	289.99	202.99	129.99	90.99	129.99	90.99
Tier 37	36.99	25.90	36.99	25.90	479.00	335.30	38.99	24.81	46.99	32.89	3200	2240	32.99	20.08	36.00	23.33	259.00	145.04	25.99	15.82	245.00	149.13	275.00	167.39	243	170.10	47.98	33.59	288.00	201.60	1120	784	1199	839.30	66.99	46.89	2050	1435	359000	251300	147.90	103.53	299.99	209.99	134.99	94.49	134.99	94.49
