Municipality Code	Street Code	Street Name	Street House number from	Street House Number to	Street House Number even[L]/odd[U]	Post Code	Locality
101	60	Ahlefeldtsgade      	1	29	U	1359	K¿benhavn K         
101	64	Ahlmannsgade        	    	998	L	2200	K¿benhavn N         
101	64	Ahlmannsgade        	1	999	U	2200	K¿benhavn N         
101	68	Ahornsgade          	    	998	L	2200	K¿benhavn N         
101	68	Ahornsgade          	1	999	U	2200	K¿benhavn N         
101	72	Ahrenkildes All    	    	998	L	2300	K¿benhavn S         
101	72	Ahrenkildes All    	1	999	U	2300	K¿benhavn S         
101	74	Aksel Larsens Plads 	2	998	L	2200	K¿benhavn N         
101	74	Aksel Larsens Plads 	1	999	U	2200	K¿benhavn N         
101	75	Aksel Sandemoses Pl 	2	998	L	2500	Valby               
101	75	Aksel Sandemoses Pl 	1	999	U	2500	Valby               
101	76	Albaniensgade       	    	998	L	2300	K¿benhavn S         
101	76	Albaniensgade       	1	999	U	2300	K¿benhavn S         
101	80	Aldersrogade        	    	10	L	2100	K¿benhavn ¯         
101	80	Aldersrogade        	12	998	L	2200	K¿benhavn N         
101	80	Aldersrogade        	1	19	U	2100	K¿benhavn ¯         
101	80	Aldersrogade        	21	999	U	2200	K¿benhavn N         
101	84	Alexandravej        	    	998	L	2400	K¿benhavn NV        
101	84	Alexandravej        	1	999	U	2400	K¿benhavn NV        
101	86	Allen              	2	998	L	2200	K¿benhavn N         
101	86	Allen              	1	999	U	2200	K¿benhavn N         
101	88	Allersgade          	    	998	L	2200	K¿benhavn N         
101	88	Allersgade          	1	999	U	2200	K¿benhavn N         
101	90	Alliancevej         	    	998	L	2450	K¿benhavn SV        
101	90	Alliancevej         	1	999	U	2450	K¿benhavn SV        
101	92	Alperosevej         	    	998	L	2300	K¿benhavn S         
101	92	Alperosevej         	1	999	U	2300	K¿benhavn S         
101	96	Alsgade             	    	998	L	1764	K¿benhavn V         
101	96	Alsgade             	1	999	U	1764	K¿benhavn V         
101	100	Alstedvej           	    	998	L	2700	Br¿nsh¿j            
101	100	Alstedvej           	1	999	U	2700	Br¿nsh¿j            
101	104	Amager Boulevard    	    	998	L	2300	K¿benhavn S         
101	104	Amager Boulevard    	1	999	U	2300	K¿benhavn S         
101	108	Amagerbrogade       	2	998	L	2300	K¿benhavn S         
101	108	Amagerbrogade       	1	999	U	2300	K¿benhavn S         
101	110	Amagerbro Torv      	2	998	L	2300	K¿benhavn S         
101	110	Amagerbro Torv      	1	999	U	2300	K¿benhavn S         
101	112	Amagerf¾lledvej     	2	998	L	2300	K¿benhavn S         
101	112	Amagerf¾lledvej     	1	999	U	2300	K¿benhavn S         
101	116	Amagergade          	    	998	L	1423	K¿benhavn K         
101	116	Amagergade          	1	999	U	1423	K¿benhavn K         
101	118	Amager Helgoland    	1	1	U	2300	K¿benhavn S         
101	119	Amagermotorvejen    	999	999Z	U	2300	K¿benhavn S         
101	120	Amager Strandvej    	2	280	L	2300	K¿benhavn S         
101	120	Amager Strandvej    	1	279	U	2300	K¿benhavn S         
101	121	Am Strandv Kast Fort	1	001Z	U	2300	K¿benhavn S         
101	122	Am. Str. Promenaden 	2	998	L	2300	K¿benhavn S         
101	122	Am. Str. Promenaden 	1	999	U	2300	K¿benhavn S         
101	123	Amager Strand Stien 	2	998	L	2300	K¿benhavn S         
101	123	Amager Strand Stien 	1	999	U	2300	K¿benhavn S         
101	124	Amagertorv          	    	998	L	1160	K¿benhavn K         
101	124	Amagertorv          	1	999	U	1160	K¿benhavn K         
101	128	Amaliegade          	    	998	L	1256	K¿benhavn K         
101	128	Amaliegade          	1	999	U	1256	K¿benhavn K         
101	132	Amalienborg Slotspl 	    	998	L	1257	K¿benhavn K         
101	132	Amalienborg Slotspl 	1	999	U	1257	K¿benhavn K         
101	136	Amalie Skrams All  	    	998	L	2500	Valby               
101	136	Amalie Skrams All  	1	999	U	2500	Valby               
101	138	Amerikakaj          	1	999	U	2100	K¿benhavn ¯         
101	139	Amerika Plads       	2	998	L	2100	K¿benhavn ¯         
101	139	Amerika Plads       	1	999	U	2100	K¿benhavn ¯         
101	140	Amerikavej          	    	998	L	1756	K¿benhavn V         
101	140	Amerikavej          	1	999	U	1756	K¿benhavn V         
101	142	Amorparken          	2	998	L	2100	K¿benhavn ¯         
101	142	Amorparken          	1	999	U	2100	K¿benhavn ¯         
101	144	Amsterdamvej        	    	998	L	2300	K¿benhavn S         
